Дата выпуска,Название,Ссылка,Описание,Суммарное кол-во просмотров
09.08.2022,Закон не писан,https://m-zh.ru/muzhskoe-zhenskoe-09-08-2022-zakon-ne-pisan.html,"Мужское Женское от 9 августа 2022 года на Первом канале (повтор выпуска от 01.11.2019). Уже больше двух лет 30-летняя Евгения Плюйко из поселка Комсомолец Ставропольского края не видела свою дочь. По словам женщины, в этом виноват ее бывший муж Денис, который выкрал ребенка и увез в неизвестном направлении. Редакторы программы потратили больше месяца, чтобы разыскать девочку и ее отца.  Что же на самом деле произошло в семье Плюйко и почему отец похитил малышку у нерадивой матери?",0
08.08.2022,Спасти детей,https://m-zh.ru/muzhskoe-zhenskoe-08-08-2022-spasti-detej.html,"Мужское Женское от 8 августа 2022 года на Первом канале (повтор выпуска от 31.10.2019). Анна Королева из Москвы сняла и выложила в сеть видео, где ее пьяная мать, 61-летняя Ирина Гончарова, орет на троих своих приемных детей, избивая их бутылкой. Девушка надеется, что публикация видео поможет спасти детей и дать им шанс на нормальное будущее. Ведь, по словам девушки, все инстанции, в которые она обращались, отказались обращать внимание на происходящее. Однако сама Ирина утверждает, что шокирующее видео — это месть ее дочери за то, что она отказалась покупать ей квартиру, а все съемки постановочные! За что женщина избивала своих приемных детей? Почему Анна считает, что она тоже Ирине неродная, и почему единственный сын Ирины ее ненавидит?",323
05.08.2022,Страсти-мордасти,https://m-zh.ru/muzhskoe-zhenskoe-05-08-2022-strasti-mordasti.html,"Мужское Женское от 5 августа 2022 года на Первом канале (повтор выпуска от 05.11.2019). После развода со своей супругой Ольгой Супруненко Дмитрий ушел к своей новой возлюбленной Юлии, которая приняла его с распростертыми объятиями. Однако Ольга не верит в искренность этих отношений и уверяет, что Дмитрий до сих пор любит ее, а с другой женщиной связался только ради мести. Незавершенные отношения между бывшими супругами осложняются разделом имущества и спорами об опеке над общим сыном-инвалидом. Из-за чего на самом деле развелись супруги Супруненко? Какую роль сыграла в их разводе Юлия, и с кем хотел бы жить 12-летний Саша?",0
04.08.2022,Маша-мамаша,https://m-zh.ru/muzhskoe-zhenskoe-04-08-2022-masha-mamasha.html,"Мужское Женское от 4 августа 2022 года на Первом канале (повтор выпуска от 12.11.2019). Родственники не могут разыскать Марию Гремячих из Липецкой области, которая оставила своих двоих детей у чужих людей. По словам родственников Марии, двухлетнюю Таню и шестилетнего Ваню родная мать регулярно оставляет в разных чужих семьях, а сама исчезает в неизвестном направлении. Бабушка детей Эмилия Безега готова пойти на крайние меры и лишить собственную дочь родительских прав, поскольку уверена, что вместе с матерью детям оставаться просто опасно.  Куда исчезла мать двоих детей? Через что пришлось пройти маленьким Тане и Ване, и какие еще тайны хранит семья Марии Гремячих? ",0
03.08.2022,Кредит на смерть,https://m-zh.ru/muzhskoe-zhenskoe-03-08-2022-kredit-na-smert.html,"Мужское Женское от 3 августа 2022 года на Первом канале (повтор выпуска от 14.11.2019). 60-летняя жительница города Сорочинск Надежда Шмидт требует лишить родительских прав свою бывшую невестку Юлию, которая вместе со своей матерью буквально похитила внука из ее дома. Женщина утверждает, что Юлия не может самостоятельно заботиться о годовалом Тимоше из-за тяжелой болезни, а ее матери Евгении Муратовой ребенок нужен только из-за пособия. Но Евгения не согласна с обвинениями в адрес своей семьи: она уверена, что дети должны жить со своей матерью – ведь Юлия живет только ради них. Что привело к трагедии в семье Шмидт? Как матери не потерять своих сыновей, и кто виновен в том, что две семьи не могут поделить ребенка? ",0
02.08.2022,"Эх, Вася, Вася…",https://m-zh.ru/muzhskoe-zhenskoe-02-08-2022-eh-vasya-vasya.html,"Мужское Женское от 2 августа 2022 года на Первом канале (повтор выпуска от 26.11.2019). 32-летняя Виктория Кутявина из Черногорска устала от безуспешных попыток мужа найти работу и была вынуждена уехать на заработки в Якутию. Двоих малолетних детей она оставила с отцом. Пока жены не было, Василий успел завести роман со старой знакомой, перевезти ее в свой дом и объявить детям, что у них новая мама. Вскоре после возвращения Виктория родила дочь. Но, несмотря на все уверения, Василий не признает отцовства и требует провести тест ДНК.  Почему Василий препятствует общению родной матери с детьми? Кому из супругов достанется трехкомнатная квартира в центре города и что покажет тест ДНК?",0
01.08.2022,Ивановский ходок,https://m-zh.ru/muzhskoe-zhenskoe-01-08-2022-ivanovskij-hodok.html,"Мужское Женское от 1 августа 2022 года на Первом канале (повтор выпуска от 03.12.2019). Уже полгода 52-летний Николай Сазонов из города Вичуга Ивановской области вынужден в поисках еды и ночлега скитаться по улицам без денег и документов. Как утверждает Николай Алексеевич, в этой ситуации он оказался по вине близких родственников, которые выгнали его из дома. Но родные Николая уверяют, что он сам довел себя до такой жизни, и готовы рассказать в студии всю правду о непростой судьбе их некогда близкого человека.  Что же на самом деле произошло в семье Николая Сазонова? Какое будущее ждет мужчину, который остался без поддержки родных людей и вынужден выживать на улицах города?",0
29.07.2022,Спички детям не игрушка,https://m-zh.ru/muzhskoe-zhenskoe-29-07-2022-spichki-detyam-ne-igrushka.html,"Мужское Женское от 29 июля 2022 года на Первом канале (повтор выпуска от 03.12.2019). Жители поселка Чисмена Волоколамского района требуют правосудия: в их селе пожар унес жизни пятерых человек, из них четверо детей, а виновники трагедии до сих пор не наказаны. Николай Якунин потерял в огне родную сестру и ее ребенка – он до сих пор не может оправиться от шока. Николай винит в их смерти соседку с первого этажа Любовь Шурыгину, которая оставила маленьких детей на своего пьющего отца. По версии следствия, именно шалости детей с огнем и стали причиной пожара. Но сама Любовь своей вины не признает – в том пожаре она сама потеряла троих детей.  Любовь приехала в студию программы «Мужское/Женское» и готова рассказать страшную правду о той трагической ночи. Что привело к трагедии, унесшей жизни пятерых человек? Кто виноват в смерти детей? И что теперь делать родным погибших?",0
28.07.2022,С милым рай и в шалаше,https://m-zh.ru/muzhskoe-zhenskoe-28-07-2022-s-milym-raj-i-v-shalashe.html,"Мужское Женское от 28 июля 2022 года на Первом канале (повтор выпуска от 09.12.2019). Уже несколько лет 38-летняя Елена Хирова из Екатеринбурга с мужем и маленькими детьми вынуждена в настоящем шалаше, который совершенно непригоден для жизни. Но женщину это не останавливает: месяц назад она прямо в этом же шалаше родила еще одного ребенка – уже шестого. Органы опеки были вынуждены ограничить Елену в родительских правах, но она готова бороться за детей.  Она пришла в студию программы «Мужское/Женское», чтобы раскрыть истинные причины ее трагедии. Как все эти годы выживали дети? Из-за кого Елена оказалась на улице? И почему рай в шалаше обернулся для Елены настоящим кошмаром?",0
27.07.2022,Для себя рожала,https://m-zh.ru/muzhskoe-zhenskoe-27-07-2022-dlya-sebya-rozhala.html,"Мужское Женское от 27 июля 2022 года на Первом канале (повтор выпуска от 10.12.2019). Антонина Доценко из Краснодарского края родила ребенка-инвалида. Врачи предупреждали, что риск родить нездорового ребенка очень высок, патологию плода они обнаружили, когда женщина была на пятом месяце беременности. Антонина приняла решение рожать, несмотря ни на что. Но спустя годы она поняла, что совершила роковую ошибку, с каждым днем находиться с сыном ей все сложнее и сложнее. Теперь она хочет отдать сына в другую семью или в интернат. Можно ли найти для Даниила семью, в которой о нем позаботятся?",0
26.07.2022,Батя,https://m-zh.ru/muzhskoe-zhenskoe-26-07-2022-batya.html,"Мужское Женское от 26 июля 2022 года на Первом канале (повтор выпуска от 12.12.2019). 18-летняя Екатерина Савина из поселка Бисерть Свердловской области уже три года пытается разыскать свою маму Светлану Савину, которая однажды ушла из дома к соседке и не вернулась. Все эти годы отец семейства Сергей Савин в одиночку заботился о четырех детях, а Екатерина с сестрами надеялись, что когда-нибудь снова смогут увидеть маму. Редакторам программы удалось разыскать Светлану. Она приехала в студию, чтобы посмотреть в глаза мужу и рассказать, почему она сбежала от него. Что на самом деле произошло в семье Савиных? Почему Светлана три года пряталась от родных? И почему на самом деле дочери пытаются найти Светлану?",488
25.07.2022,Морозко,https://m-zh.ru/muzhskoe-zhenskoe-25-07-2022-morozko.html,"Мужское Женское от 25 июля 2022 года на Первом канале (повтор выпуска от 23.01.2020). Жизнь полуторагодовалой Зои Михайловой из Бурятии едва не оборвалась при трагических обстоятельствах: ранним утром девочку без признаков жизни нашла в сугробе случайная прохожая. От смерти ребенка отделяло всего несколько минут. Соседи считают, что мать девочки, 30-летняя Светлана Михайлова, просто забыла ребенка на улице, пока сама выпивала с друзьями. Но сама Светлана считает себя хорошей матерью, а в случившемся винит бывшую свекровь, с которой она оставила девочку той ночью. Кто виноват в том, что полуторагодовалая девочка чуть не погибла, и что на самом деле привело к трагедии в семье Михайловых?",0
22.07.2022,Не до мамы,https://m-zh.ru/muzhskoe-zhenskoe-22-07-2022-ne-do-mamy.html,"Мужское Женское от 22 июля 2022 года на Первом канале (повтор выпуска от 28.01.2020). 70-летняя Нина Климова из Новгородской области выживает одна в разваленной хибаре. Женщина опасается, что однажды ее найдут под завалами старого дома. Многодетная мать мечтала встретить старость в окружении детей и внуков, но вынуждена сама справляться со своими проблемами. Односельчане уверены, что престарелая мать давно не нужна родным детям и они не торопятся к ней с визитом. Почему Нина Ивановна оказалась на старости лет у разбитого корыта? Кто ей помогает и какие тайны скрывает пожилая женщина.",0
21.07.2022,Любовь до комы,https://m-zh.ru/muzhskoe-zhenskoe-21-07-2022-lyubov-do-komy.html,"Мужское Женское от 21 июля 2022 года на Первом канале (повтор выпуска от 28.01.2020). 32-летняя Айгуль Галяева из Челябинской области уже несколько месяцев находится в коме. В любую минуту трое ее детей могут остаться сиротами. В реанимацию многодетная мать попала после ночных посиделок. Родные Айгуль считают, что виной всему неадекватные собутыльники. Однако все участники того злополучного застолья переводят стрелки друг на друга. Никто не хочет признать, что каждый по-своему виноват в трагедии. Кто на самом деле довел женщину до комы и почему виновные до сих пор не понесли наказания? ",0
20.07.2022,Мать его,https://m-zh.ru/muzhskoe-zhenskoe-20-07-2022-mat-ego.html,"Мужское Женское от 20 июля 2022 года на Первом канале (повтор выпуска от 04.02.2020). На видеокадрах пьяная женщина еле стоит на ногах, а ее грудной ребенок ползает по асфальту и чудом уворачивается от проезжающих машин. Малыша спасли случайные прохожие. В тот же день органы опеки забрали у горе-мамаши всех троих детей. Мать детей Юлия Левандовская утверждает, что ни в чем не виновата, а за всем стоит ее свекровь Елена Савченко, которая постоянно вызывает сотрудников опеки и неоднократно пыталась забрать детей к себе, чтобы улучшить свое материальное положение. Почему убитую горем мать не пускают к детям? Сможет ли Юлия вернуть малышей и какое будущее их ждет?",0
19.07.2022,Без матери,https://m-zh.ru/muzhskoe-zhenskoe-19-07-2022-bez-materi.html,"Мужское Женское от 19 июля 2022 года на Первом канале (повтор выпуска от 05.02.2020). Сергей и Максим Черентаевы из Мордовии были еще совсем маленькими, когда их мать Елена Надина встретила любовь всей своей жизни и ушла из семьи. 13 лет мальчики прожили с отцом, который растил своих сыновей на крохотную пенсию по инвалидности. Все эти годы Елена не вспоминала про детей и не платила алименты. Она давно счастлива в новом браке, от нового мужа родила еще двоих детей. Женщина утверждает, что бывший муж заставил ее бросить сыновей, и заявляет, что всегда их любила и надеялась на встречу. Как пройдет встреча матери с сыновьями? Почему Елена много лет не общалась с мальчиками? И смогут ли сыновья простить мать, которая когда-то их предала?",0
18.07.2022,"Где деньги, Галчинские?",https://m-zh.ru/muzhskoe-zhenskoe-18-07-2022-gde-dengi-galchinskie.html,"Мужское Женское от 18 июля 2022 года на Первом канале (повтор выпуска от 02.06.2020). Юлия Галчинская жалуется на тяжелую жизнь из-за того, что ее бывший муж не платит алименты. А 45-летний Владимир Галчинский жалуется на тяжелую жизнь из-за того, что ему нужно платить алименты. Он потерял работу и уже два года живет в дачном домике у друзей. Как можно много лет жаловаться на жизнь, имея четыре квартиры в Подмосковье, как получилось задолжать почти полмиллиона рублей по алиментам, имея собственный автомагазин, и чем действительно можно помочь такой семье.",0
15.07.2022,С высокой горы,https://m-zh.ru/muzhskoe-zhenskoe-15-07-2022-s-vysokoi-gory.html,"Мужское Женское от 15 июля 2022 года на Первом канале (повтор выпуска от 06.02.2020). 41-летняя Олеся Ефремова из Казани намерена лишить свою дочь родительских прав и взять малолетнего внука под свою опеку. По ее словам, Ксения исчезла в неизвестном направлении и не интересуется судьбой сына, променяв заботу о ребенке на постоянные тусовки и алкоголь. Ксению уверяет, что была вынуждена сбежать из-за жестокого отношения своей матери и отправиться на заработки, чтобы обеспечивать единственного ребенка. В студии программы «Мужское / Женское» пробуют разобраться, что же на самом деле произошло в семье Олеси Ефремовой, и выясняют, в чьих руках окажется судьба малыша, который с ранних лет стал разменной монетой в отношениях самых близких родственников.",0
14.07.2022,Убийца педофила,https://m-zh.ru/muzhskoe-zhenskoe-14-07-2022-ubijtsa-pedofila.html,"Мужское Женское от 14 июля 2022 года на Первом канале (повтор выпуска от 07.02.2020). 33-летний Владимир Санкин из Уфы до смерти избил извращенца-педофила, спасая двоих подростков. В социальных сетях Санкина считают настоящим героем, а его родственники и друзья надеются, что суд учтет благие намерения и порочный облик убитого, 53-летнего Владимира Зайцева. Сейчас Владимиру Санкину грозит до 15 лет лишения свободы. Кто же такой Владимир Санкин – герой или убийца? Как он объясняет произошедшее? Сможет ли общественное мнение повлиять на решение суда? Мать подсудимого, свидетели убийства и пострадавшие подростки впервые расскажут о произошедшем перед камерами. ",0
13.07.2022,Дети в нечистотах,https://m-zh.ru/muzhskoe-zhenskoe-13-07-2022-deti-v-nechistotah.html,"Мужское Женское от 13 июля 2022 года на Первом канале (повтор выпуска от 12.02.2020). Квартира 27-летняя Елены Хамидовой, где она проживает с четырьмя детьми, больше похожа на заброшенные руины: семья уже много лет живет среди гор мусора, а тараканы и клопы стали их постоянными соседями. Но Елена считает себя хорошей матерью и отличной хозяйкой – а в тараканах она не видит ничего плохого.  В студии программы «Мужское / Женское» пробуют разобраться, как четверо детей выживают в антисанитарных условиях, постараются понять многодетную мать, собирающую хлам с помойки, и услышат комментарии органов опеки, которые много лет знают эту семью.",0
12.07.2022,Борьба за выживание,https://m-zh.ru/muzhskoe-zhenskoe-12-07-2022-borba-za-vyzhivanie.html,"Мужское Женское от 12 июля 2022 года на Первом канале (повтор выпуска от 13.02.2020). 5-летний Ярослав из Орска мечтает стать врачом и купить маме квартиру. А еще он боится, что его заберут в детский дом. Его маме Кристине Николаевой всего 22 года, она выросла среди алкоголиков и наркоманов, а теперь в одиночку воспитывает сына и хочет во что бы то ни стало воспитать его хорошим человеком. После смерти матери Кристине досталась непригодная для проживания комната в общежитии – без окон, без воды, без отопления, зато с долгом в 200 тысяч рублей за коммунальные услуги! Почему ей не помогают родственники и есть ли у Кристины и Ярослава шанс на светлое будущее.",0
11.07.2022,Маша и мамаша,https://m-zh.ru/muzhskoe-zhenskoe-11-07-2022-masha-i-mamasha.html,"Мужское Женское от 11 июля 2022 года на Первом канале (повтор выпуска от 18.02.2020). В разгар новогодних праздников в Ленинградской области пропала 14-летняя Мария Петушкова. На ее поиски были брошены силы полиции и волонтерского движения «Liza Alert». Родители девочки не могли найти себе места – они уже не надеялись увидеть дочь живой. Маша нашлась спустя 10 дней. Как оказалось, она сбежала из дома в надежде спастись от регулярных побоев и издевательств родителей. Теперь Маша мечтает лишить собственных отца и мать родительских прав. Почему 14-летняя Мария сбежала из дома? Кто виноват в том, что ребенок хочет избавиться от собственных родителей? И что на самом деле привело к расколу в семье Петушковых?",218
08.07.2022,Моя приемная мать,https://m-zh.ru/muzhskoe-zhenskoe-08-07-2022-moya-priemnaya-mat-monstr.html,"Мужское Женское от 8 июля 2022 года на Первом канале (повтор выпуска от 19.02.2020). 20 лет назад Анна Корякина из Старого Оскола удочерила 12-летнюю Настю и воспитала ее как родную дочь. А сейчас 72-летняя Анна Сергеевна хочет лишить ее родительских прав, утверждая, что из-за бесконечного пьянства Анастасии ее дети находятся в постоянной опасности. Но сама Анастасия утверждает, что она, в отличие от приемной матери, хорошо справляется со своими родительскими обязанностями, а Анна Сергеевна ополчилась на нее ради жилплощади. Что же на самом деле произошло в семье Анны Корякиной, и какую страшную правду о жизни в приемной семье готова рассказать Анастасия Шахова спустя 20 лет молчания?",0
07.07.2022,Тайная жизнь Лолиты. Продолжение,https://m-zh.ru/muzhskoe-zhenskoe-07-07-2022-tajnaya-zhizn-lolity-prodolzhenie.html,"Мужское Женское от 7 июля 2022 года на Первом канале (повтор выпуска от 20.02.2020). 25-летняя многодетная мать Лолита Быкова продолжает бороться за двоих своих детей, которых у нее отобрали родственники. После первой передачи определилось будущее ее сына, а вот судьба старшей дочери так и осталась неясной.",54
06.07.2022,Тайная жизнь Лолиты,https://m-zh.ru/muzhskoe-zhenskoe-06-07-2022-tai-naya-zhizn-lolity.html,"Мужское Женское от 6 июля 2022 года на Первом канале (повтор выпуска от 10.02.2020). Уже год Иван Васильев из Невиномысска скрывает своего сына от бывшей жены Лолиты, несмотря на решение суда. Мужчина уверен, что ей нужны только деньги на его содержание. Но сама Лолита считает, что на самом деле ребенок нужен не Ивану, а его матери, которая всегда хотела воспитывать его в одиночку. Кто на самом деле воспитывает 3-летнего мальчика? Сколько всего детей у Лолиты, и какие еще тайны она скрывает?",0
05.07.2022,Объятый пламенем,https://m-zh.ru/muzhskoe-zhenskoe-05-07-2022-obyatyj-plamenem.html,"Мужское Женское от 5 июля 2022 года на Первом канале (повтор выпуска от 25.02.2020). В апреле 2019 года в селе Чернышево Пензенской области был найден обгоревший, но еще живой мужчина. В тяжелом состоянии его отправили в районную больницу. По горячим следам был задержан местный предприниматель Алексей Шулимов, которому предъявили обвинение в поджоге. Но родные уверены, что Алексей невиновен, и вот уже полгода пытаются это доказать.  Они смогли найти свидетелей, подтверждающих алиби Алексея, узнали всю правду о том, как идет следствие, и нашли тех, кто видел настоящих поджигателей. Смогут ли эти доводы изменить ход следствия? Правда ли, что свидетели обвинения готовы отказаться от своих показаний? И кто же тогда настоящий преступник?",378195
04.07.2022,"Сынок, я жив!",https://m-zh.ru/muzhskoe-zhenskoe-05-07-2022-synok-ya-zhiv.html,"Мужское Женское от 4 июля 2022 года на Первом канале (повтор выпуска от 28.02.2020). 63-летний Сергей Михеев из Орска более 20 лет искал своего единственного сына Сашу. Тогда Сергей ушел из семьи после ссоры с женой, оставив ее с двумя детьми – 14-летней падчерицей Ольгой и восьмилетним Сашей. Все эти годы Саша думал, что его отец мертв, а Сергей жил в пяти тысячах километров от него, видел сына во снах и мечтал о встрече. Почему Сергей бросил семью и детей? Как пройдет встреча? И что они скажут друг другу 20 лет спустя?",0
01.07.2022,Санта-Барбара,https://m-zh.ru/muzhskoe-zhenskoe-01-07-2022-santa-barbara.html,"Мужское Женское от 1 июля 2022 года на Первом канале (повтор выпуска от 04.03.2020). В жизни Елены Ушаткиной из Калужской области все, как в любовном романе: страсти, романтика и неожиданные повороты сюжета. О том, как Лена уходила от своего гражданского мужа Руслана к любовнику, рассказывала даже местная пресса. Но счастье было недолгим: сегодня Елена, которая воспитывает шестерых детей, вынуждена постоянно доказывать органам опеки, что она – хорошая мать. Причиной многочисленных проверок стадии анонимные письма с жалобами на Елену. Женщина провела собственное расследование и выяснила, что кляузы на нее строчит ее новый муж Михаил Ушаткин!  После долгих разборок с ссорами и драками Елена решила выставить Михаила и вернуться к Руслану. Но Михаил отказывается отпускать любимую женщину и по-прежнему собирается жить с ней и ее детьми под одной крышей. Елена Ушаткина встретится со всеми своими мужчинами, чтобы разобраться, кого из них она любит и с кем готова жить дальше.",0
30.06.2022,Вынужденное вмешательство,https://m-zh.ru/muzhskoe-zhenskoe-30-06-2022-vynuzhdennoe-vmeshatelstvo.html,"Мужское Женское от 30 июня 2022 года на Первом канале (повтор выпуска от 05.03.2020). Соседи Татьяны Городецкой не могли больше терпеть доносящийся из ее квартиры крик ребенка. Когда они вошли, то обнаружили ее сына Пашу, которому нет еще и года, с многочисленными синяками и ссадинами, лежащего посреди ужасающего беспорядка и многочисленных пустых бутылок из-под водки. Мать мальчика вместе с сожителем спали рядом пьяные. Органы опеки забрали всех детей Татьяны и лишили ее родительских прав.  Сама Татьяна категорически против такого решения и обвиняет соседей в похищении сына. Женщина уверяет, что она готова на все, лишь бы вернуть себе детей. В студии программы «Мужское/Женское» Татьяна попробует доказать, что она хорошая мать, а также встретится с соседями, которых она обвиняет во всех своих бедах.",0
29.06.2022,Это по любви,https://m-zh.ru/muzhskoe-zhenskoe-29-06-2022-eto-po-lyubvi.html,"Мужское Женское от 29 июня 2022 года на Первом канале (повтор выпуска от 12.03.2020). 12-летняя Юлия Луначева из Екатеринбурга более полугода состояла в интимных отношениях с двумя взрослыми мужчинами: 35-летним инспектором ГИБДД Владиславом Ханиповым и 40-летним сотрудником торгового центра Сергеем Кузнецовым. Сейчас оба любовника несовершеннолетней Юли находятся в следственном изоляторе, девочка – в реабилитационном центре, а ее мать – в запое. Но родственники подозреваемых утверждают, что девочка все выдумала, а соседи уверены, что мать Юли за бутылку водки сама подкладывала дочку под мужчин.  Почему Юля оправдывает своих насильников? Кто виноват в страшных преступлениях? И как жить дальше 12-летней девочке?",36751
28.06.2022,Одна дома,https://m-zh.ru/muzhskoe-zhenskoe-28-06-2022-odna-doma.html,"Мужское Женское от 28 июня 2022 года на Первом канале (повтор выпуска от 18.03.2020). Месяц назад 2-летнюю Милану из Шелехова Иркутской области в 4 часа ночи сотрудники МЧС эвакуировали из дома, где она была совершенно одна, замерзшая, голодная и напуганная. С тех пор Милана находится в больнице. Как оказалось, молодая мама Галина Лю-Ван-Ши с вечера ушла гулять и вернулась лишь под утро, и она не понимает, за что на нее все ополчились – ведь ничего страшного за это время не произошло!  Что именно случилось с маленькой Миланой? Почему мать оставила дочь одну дома, и какую тайную жизнь ведет Галина?",0
27.06.2022,Ивана не дам,https://m-zh.ru/muzhskoe-zhenskoe-27-06-2022-ivana-ne-dam.html,"Мужское Женское от 27 июня 2022 года на Первом канале (повтор выпуска от 24.03.2020). Иван Клюкин из Нижегородской области практически с самого рождения проживал со своей тетей Оксаной Засухиной. Оксана хочет лишить сестру родительских прав и официально оформить опеку над Ваней. Она уверена, что своей матери Ваня не нужен – ведь та сначала отдала сына на воспитание ей, а потом и вовсе сдала в детский дом. Но мать ребенка, 33-летняя Александра Мишина, не желает отдавать мальчика и винит Оксану во всех своих проблемах.  Из-за чего на самом деле враждуют две сестры? Где находится отец маленького Вани, и как органы опеки собираются решить этот вопрос?",0
24.06.2022,7+1,https://m-zh.ru/muzhskoe-zhenskoe-24-06-2022-7-1.html,"Мужское Женское от 24 июня 2022 года на Первом канале (повтор выпуска от 24.03.2020). Многодетная мать Людмила Степанова вот уже 2 года бьется за право воспитывать своих детей. У Людмилы семеро детей, но с ней живет только один — остальных у нее отобрали. Органы опеки уверены, что женщина смертельно опасна для детей: из-за нее дети долгое время контактировали с человеком, больным туберкулезом. Сама же Людмила все отрицает и считает, что это сговор органов опеки и опекунов, которым дети нужны только ради пособия. Почему на самом деле органы опеки разлучили мать с детьми? От кого родила всех своих детей Людмила и зачем ее бывшая свекровь хочет провести тест ДНК? ",1645557
23.06.2022,Алиса в стране «чудес»,https://m-zh.ru/muzhskoe-zhenskoe-23-06-2022-alisa-v-strane-chudes.html,"Мужское Женское от 23 июня 2022 года на Первом канале (повтор выпуска от 27.03.2020). В Твери между бывшими родственниками развернулась настоящая холодная война за судьбу 10-летней Алисанетты. Как утверждает тетя девочки Жанна Шурунова, ребенок просто боится собственного отца, который не раз в пьяном угаре избивал ее. Но сам Вячеслав Корецкий считает, что Жанна – настоящая преступница, которую интересуют только деньги и вещи покойной сестры.  Почему дочь боится собственного отца? Что на самом деле привело к конфликту когда-то родных людей, и почему девочка не хочет возвращаться домой?",0
22.06.2022,Ну что ж ты страшная такая!,https://m-zh.ru/muzhskoe-zhenskoe-22-06-2022-nu-chto-zh-ty-strashnaya-takaya.html,"Мужское Женское от 22 июня 2022 года на Первом канале (повтор выпуска от 27.03.2020). Михаил и Кира Гвоздевы из Воронежской области познакомились 3 года назад и полюбили друг друга с первого взгляда. Миша предложил Кире руку и сердце, принял ее дочь Диану как родную и стал мечтать о совместном ребенке. Но через 2 года отношения пары резко ухудшились: Кира обвиняет мужа в алкоголизме, жестоком обращении с Дианой и безразличии к себе. А Михаил утверждает, что Кира перестала ухаживать не только за ним, но и за собой – перестала мыться, растолстела и больше не привлекает его как женщина.  Кто виноват в постоянных скандалах? Можно ли вернуть в семью Гвоздевых любовь и взаимопонимание, и стоит ли спасать эти отношения?",0
